Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,3,VIET NAM,27,0,Prefer not to say,46
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,38,SINGAPORE,41,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,36,UNITED STATES,95,0,Prefer not to say,49
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,4,THAILAND,20,0,Prefer not to say,50
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,3,MALAYSIA,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,13,THAILAND,35,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,11,PHILIPPINES,43,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,16,MYANMAR,47,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,12,CHINA,29,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,39,INDONESIA,20,0,Prefer not to say,46
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,19,MALAYSIA,20,0,Prefer not to say,46
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,18,HONG KONG,30,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,105,JAPAN,44,0,Prefer not to say,25
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,23,"KOREA, REPUBLIC OF",57,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,57,UNITED ARAB EMIRATES,37,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,29,"TAIWAN, PROVINCE OF CHINA",46,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,1,INDIA,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,15,MYANMAR,16,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,90,HONG KONG,37,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,91,PHILIPPINES,18,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,2,SINGAPORE,14,0,Prefer not to say,31
EPX,Travel Agency,Online,Cancellation Plan,No,17,THAILAND,19,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,10,PHILIPPINES,37,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,12,UNITED STATES,39,0,Prefer not to say,32
EPX,Travel Agency,Online,Cancellation Plan,No,18,VIET NAM,14,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,6,INDIA,25,0,Prefer not to say,43
EPX,Travel Agency,Online,Cancellation Plan,No,2,MALAYSIA,10,0,Prefer not to say,35
EPX,Travel Agency,Online,Cancellation Plan,No,18,THAILAND,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,2,HONG KONG,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,39,SINGAPORE,68,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,4,UNITED STATES,17,0,Prefer not to say,35
EPX,Travel Agency,Online,Cancellation Plan,No,38,"KOREA, REPUBLIC OF",0,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,10,"KOREA, REPUBLIC OF",23,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,92,NEW ZEALAND,80,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,22,COSTA RICA,80,0,Prefer not to say,24
EPX,Travel Agency,Online,Cancellation Plan,No,10,THAILAND,10,0,Prefer not to say,30
EPX,Travel Agency,Online,Cancellation Plan,No,7,MALAYSIA,15,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,8,VIET NAM,0,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,37,THAILAND,30,0,Prefer not to say,43
EPX,Travel Agency,Online,Cancellation Plan,No,2,"KOREA, REPUBLIC OF",16,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,31,"KOREA, REPUBLIC OF",58,0,Prefer not to say,29
EPX,Travel Agency,Online,Cancellation Plan,No,41,JAPAN,20,0,Prefer not to say,40
EPX,Travel Agency,Online,Cancellation Plan,No,6,MALAYSIA,10,0,Prefer not to say,29
EPX,Travel Agency,Online,Cancellation Plan,No,8,INDONESIA,17,0,Prefer not to say,43
EPX,Travel Agency,Online,Cancellation Plan,No,10,MYANMAR,51,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,50,AUSTRALIA,24,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,1,VIET NAM,20,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,2,CHINA,26,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,1,SINGAPORE,86,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,8,NEW ZEALAND,28,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,24,"KOREA, REPUBLIC OF",90,0,Prefer not to say,36
RAB,Airlines,Online,Value Plan,No,4,BRUNEI DARUSSALAM,15,6,M,44
SSI,Airlines,Online,Ticket Protector,No,55,SINGAPORE,21.35,5.98,Prefer not to say,48
SSI,Airlines,Online,Ticket Protector,No,15,SINGAPORE,6.5,1.82,Prefer not to say,48
JZI,Airlines,Online,Basic Plan,No,45,AUSTRALIA,26,9.1,M,31
JZI,Airlines,Online,Basic Plan,No,5,INDONESIA,22,7.7,F,29
JZI,Airlines,Online,Basic Plan,No,41,CHINA,44,15.4,F,37
JZI,Airlines,Online,Basic Plan,No,43,THAILAND,22,7.7,F,34
JZI,Airlines,Online,Basic Plan,No,5,CHINA,22,7.7,M,41
ART,Airlines,Online,24 Protect,No,56,PHILIPPINES,75.96,26.59,F,48
ART,Airlines,Online,24 Protect,No,3,SINGAPORE,12.5,4.38,M,48
ART,Airlines,Online,24 Protect,No,3,MALAYSIA,4.99,1.75,M,48
C2B,Airlines,Online,Bronze Plan,No,20,SINGAPORE,47,11.75,M,30
C2B,Airlines,Online,Bronze Plan,No,29,SINGAPORE,27,6.75,M,30
C2B,Airlines,Online,Bronze Plan,No,23,SINGAPORE,30.55,7.64,F,35
C2B,Airlines,Online,Silver Plan,No,13,SINGAPORE,19.5,4.88,M,34
C2B,Airlines,Online,Silver Plan,No,29,SINGAPORE,31.85,7.96,M,45
C2B,Airlines,Online,Gold Plan,No,23,SINGAPORE,77.35,19.34,F,52
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,23,MALAYSIA,29.7,17.82,Prefer not to say,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,29,AUSTRALIA,39.6,23.76,Prefer not to say,52
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,26,THAILAND,29.7,17.82,Prefer not to say,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,8,MALAYSIA,39.6,23.76,Prefer not to say,30
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,4,MALAYSIA,19.8,11.88,Prefer not to say,29
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,34,AUSTRALIA,19.8,11.88,Prefer not to say,34
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,19,MALAYSIA,39.6,23.76,Prefer not to say,35
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,2,SINGAPORE,9.9,5.94,Prefer not to say,44
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,4,VIET NAM,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,13,THAILAND,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,39,POLAND,69,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,10,HONG KONG,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,48,MALAYSIA,20,0,Prefer not to say,53
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,62,"TAIWAN, PROVINCE OF CHINA",22,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,4,MALAYSIA,20,0,Prefer not to say,53
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,90,"KOREA, REPUBLIC OF",42,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,10,PHILIPPINES,56,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,13,MALAYSIA,20,0,Prefer not to say,43
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,19,THAILAND,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,3,SINGAPORE,20,0,Prefer not to say,39
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,18,THAILAND,20,0,Prefer not to say,45
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,18,VIET NAM,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,22,CHINA,69,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,6,CHINA,36,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,11,MALAYSIA,20,0,Prefer not to say,48
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,18,JAPAN,112,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,12,CHINA,27,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,81,"KOREA, REPUBLIC OF",32,0,Prefer not to say,24
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,36,SINGAPORE,67,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,28,SINGAPORE,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,42,MALAYSIA,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,91,JAPAN,44,0,Prefer not to say,29
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,12,MALAYSIA,20,0,Prefer not to say,27
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,49,MALAYSIA,20,0,Prefer not to say,27
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,13,INDONESIA,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,28,INDIA,50,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,7,MALAYSIA,16,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,22,HONG KONG,29,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,1,UNITED STATES,20,0,Prefer not to say,47
EPX,Travel Agency,Online,Cancellation Plan,No,49,INDIA,24,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,28,THAILAND,27,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,13,CHINA,33,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,118,MYANMAR,10,0,Prefer not to say,35
EPX,Travel Agency,Online,Cancellation Plan,No,7,SINGAPORE,18,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,7,"KOREA, REPUBLIC OF",58,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,52,SPAIN,46,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,38,HONG KONG,12,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,18,THAILAND,29,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,21,INDONESIA,15,0,Prefer not to say,31
EPX,Travel Agency,Online,Cancellation Plan,No,25,MALAYSIA,20,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,19,"KOREA, REPUBLIC OF",19,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,20,MALAYSIA,13,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,33,UNITED KINGDOM,74,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,31,THAILAND,40,0,Prefer not to say,30
EPX,Travel Agency,Online,Cancellation Plan,No,24,THAILAND,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,1,UNITED STATES,17,0,Prefer not to say,28
EPX,Travel Agency,Online,Cancellation Plan,No,12,MALAYSIA,13,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,5,MALAYSIA,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,25,CZECH REPUBLIC,80,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,12,HONG KONG,80,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,12,THAILAND,34,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,94,AUSTRALIA,80,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,13,MYANMAR,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,46,AUSTRALIA,80,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,29,"KOREA, REPUBLIC OF",22,0,Prefer not to say,30
EPX,Travel Agency,Online,Cancellation Plan,No,57,SINGAPORE,11,0,Prefer not to say,40
EPX,Travel Agency,Online,Cancellation Plan,No,82,GERMANY,80,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,13,SRI LANKA,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,12,CAMBODIA,14,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,9,THAILAND,13,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,6,THAILAND,23,0,Prefer not to say,33
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,55,AUSTRALIA,26,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,2,MALAYSIA,20,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,26,MALAYSIA,20,0,Prefer not to say,24
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,4,CHINA,20,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,25,CHINA,46,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,49,SINGAPORE,20,0,Prefer not to say,29
RAB,Airlines,Online,Value Plan,No,14,BRUNEI DARUSSALAM,15,6,Prefer not to say,39
SSI,Airlines,Online,Ticket Protector,No,54,SINGAPORE,1.98,0.56,Prefer not to say,48
SSI,Airlines,Online,Ticket Protector,No,40,SINGAPORE,3.89,1.09,Prefer not to say,48
SSI,Airlines,Online,Ticket Protector,No,11,SINGAPORE,7.21,2.02,Prefer not to say,48
JZI,Airlines,Online,Basic Plan,No,5,INDONESIA,22,7.7,M,53
JZI,Airlines,Online,Basic Plan,No,28,HONG KONG,35,12.25,M,52
JZI,Airlines,Online,Basic Plan,No,21,VIET NAM,22,7.7,M,40
JZI,Airlines,Online,Basic Plan,No,34,CHINA,22,7.7,F,46
JZI,Airlines,Online,Value Plan,No,49,AUSTRIA,67,23.45,F,49
C2B,Airlines,Online,Bronze Plan,No,19,SINGAPORE,17.55,4.39,M,31
C2B,Airlines,Online,Bronze Plan,No,4,SINGAPORE,17.55,4.39,M,35
C2B,Airlines,Online,Bronze Plan,No,9,SINGAPORE,17.55,4.39,F,26
C2B,Airlines,Online,Bronze Plan,No,28,SINGAPORE,17.55,4.39,M,33
C2B,Airlines,Online,Bronze Plan,No,18,SINGAPORE,0,7.47,M,45
C2B,Airlines,Online,Bronze Plan,No,18,SINGAPORE,38.35,9.59,F,34
C2B,Airlines,Online,Bronze Plan,No,55,SINGAPORE,94,23.5,M,30
C2B,Airlines,Online,Bronze Plan,No,32,SINGAPORE,44.85,11.21,F,27
C2B,Airlines,Online,Silver Plan,No,13,SINGAPORE,62.25,15.56,M,27
C2B,Airlines,Online,Silver Plan,No,13,SINGAPORE,81.75,20.44,M,30
C2B,Airlines,Online,Silver Plan,No,12,SINGAPORE,62.25,15.56,M,29
C2B,Airlines,Online,Silver Plan,Yes,10,SINGAPORE,43.55,10.89,M,45
C2B,Airlines,Online,Silver Plan,No,10,SINGAPORE,43.55,10.89,F,46
C2B,Airlines,Online,Silver Plan,No,34,SINGAPORE,109,27.25,F,27
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,20,ITALY,39.6,23.76,Prefer not to say,51
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,3,MALAYSIA,29.7,17.82,Prefer not to say,28
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,6,UNITED STATES,29.7,17.82,Prefer not to say,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,5,UNITED KINGDOM,39.6,23.76,Prefer not to say,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,5,THAILAND,29.7,17.82,Prefer not to say,44
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,5,AUSTRALIA,29.7,17.82,Prefer not to say,29
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,45,THAILAND,19.8,11.88,Prefer not to say,33
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,12,JAPAN,29.7,17.82,Prefer not to say,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,110,SINGAPORE,20,0,Prefer not to say,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,32,"TANZANIA, UNITED REPUBLIC OF",112,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,26,MALAYSIA,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,37,UNITED STATES,112,0,Prefer not to say,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,32,UNITED STATES,50,0,Prefer not to say,25
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,7,HONG KONG,23,0,Prefer not to say,28
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,39,SINGAPORE,38,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,27,INDONESIA,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,22,INDONESIA,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,11,AUSTRALIA,74,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,12,LAO PEOPLE'S DEMOCRATIC REPUBLIC,37,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,21,CHINA,52,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,56,ITALY,69,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,56,ITALY,69,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,20,THAILAND,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,41,VIET NAM,26,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,15,PHILIPPINES,30,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,20,INDIA,46,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9,THAILAND,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,14,THAILAND,20,0,Prefer not to say,40
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,35,SINGAPORE,56,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,2,MALAYSIA,29,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,8,MALAYSIA,20,0,Prefer not to say,35
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9,SINGAPORE,0,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,8,MALAYSIA,32,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,10,VIET NAM,23,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,24,VIET NAM,71,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,4,SINGAPORE,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,3,MALAYSIA,20,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,4,CHINA,37,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,3,MALAYSIA,20,0,Prefer not to say,25
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,75,AUSTRALIA,31,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9,SINGAPORE,30,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,47,MALAYSIA,37,0,Prefer not to say,31
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,28,SRI LANKA,39,0,Prefer not to say,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,83,PHILIPPINES,20,0,Prefer not to say,39
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,56,AUSTRALIA,27,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,Yes,73,THAILAND,16,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,12,MALAYSIA,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,15,SINGAPORE,19,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,12,VIET NAM,37,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,27,SINGAPORE,70,0,Prefer not to say,26
EPX,Travel Agency,Online,Cancellation Plan,No,24,MALAYSIA,14,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,27,MALAYSIA,10,0,Prefer not to say,49
EPX,Travel Agency,Online,Cancellation Plan,No,35,MYANMAR,13,0,Prefer not to say,39
EPX,Travel Agency,Online,Cancellation Plan,No,34,CHINA,33,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,27,CAMBODIA,17,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,54,"KOREA, REPUBLIC OF",39,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,11,HONG KONG,18,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,5,HONG KONG,29,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,40,HONG KONG,24,0,Prefer not to say,28
EPX,Travel Agency,Online,Cancellation Plan,No,29,"TAIWAN, PROVINCE OF CHINA",43,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,7,SINGAPORE,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,28,THAILAND,30,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,57,SRI LANKA,10,0,Prefer not to say,32
EPX,Travel Agency,Online,Cancellation Plan,No,38,UNITED STATES,18,0,Prefer not to say,38
EPX,Travel Agency,Online,Cancellation Plan,No,53,NEW ZEALAND,59,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,40,SINGAPORE,16,0,Prefer not to say,45
EPX,Travel Agency,Online,Cancellation Plan,No,18,MYANMAR,19,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,32,CHINA,33,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,13,HONG KONG,21,0,Prefer not to say,53
EPX,Travel Agency,Online,Cancellation Plan,No,25,INDIA,20,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,15,CHINA,32,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,11,CHINA,24,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,13,CHINA,16,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,26,MALAYSIA,22,0,Prefer not to say,54
EPX,Travel Agency,Online,Cancellation Plan,No,27,INDIA,0,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,49,AUSTRALIA,18,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,33,INDONESIA,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,27,INDONESIA,10,0,Prefer not to say,28
EPX,Travel Agency,Online,Cancellation Plan,No,81,NEPAL,45,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,25,AUSTRALIA,45,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,82,PHILIPPINES,14,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,70,"TAIWAN, PROVINCE OF CHINA",21,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,19,MALAYSIA,10,0,Prefer not to say,36
EPX,Travel Agency,Online,Cancellation Plan,No,19,MALAYSIA,10,0,Prefer not to say,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,14,CHINA,20,0,Prefer not to say,36
